USED IN MUCH OLDER PRODUCTS
n	a [Pa]	b	ph [hPa]	pf [hPa]	Geopotential Altitude [m]	Geometric Altitude [m]	Temperature [K]	Density [kg/m^3]
0	0.000000	0.000000	0.000000	-	-	-	-	-
1	2000.000000	0.000000	20.0000	10.0000	31054.95	31207.11	227.70	0.015299
2	4000.000000	0.000000	40.0000	30.0000	23848.75	23938.39	220.50	0.047396
3	6000.000000	0.000000	60.0000	50.0000	20576.18	20642.87	217.23	0.080184
4	8000.000000	0.000000	80.0000	70.0000	18441.83	18495.38	216.65	0.112556
5	9988.882838	0.000197	100.0886	90.0443	16844.92	16889.59	216.65	0.144786
6	11914.524469	0.001511	120.6766	110.3826	15553.41	15591.49	216.65	0.177489
7	13722.942942	0.004884	142.1783	131.4274	14446.75	14479.60	216.65	0.211328
8	15369.730856	0.011076	164.9202	153.5493	13460.18	13488.69	216.65	0.246899
9	16819.476269	0.020678	189.1466	177.0334	12557.63	12582.44	216.65	0.284660
10	18045.183587	0.034121	215.0251	202.0859	11718.27	11739.87	216.65	0.324943
11	19027.694476	0.051690	242.6522	228.8387	10930.02	10948.81	217.10	0.367189
12	19755.108757	0.073534	272.0592	257.3557	10175.26	10191.54	222.01	0.403822
13	20222.205309	0.099675	303.2174	287.6383	9444.61	9458.63	226.76	0.441886
14	20429.862967	0.130023	336.0439	319.6307	8737.51	8749.51	231.36	0.481280
15	20384.481428	0.164384	370.4072	353.2256	8054.20	8064.40	235.80	0.521847
16	20097.402147	0.202476	406.1328	388.2700	7395.38	7403.97	240.08	0.563389
17	19584.329243	0.243933	443.0085	424.5707	6761.89	6769.08	244.20	0.605674
18	18864.750393	0.288323	480.7907	461.8996	6154.67	6160.62	248.14	0.648445
19	17961.357741	0.335155	519.2093	500.0000	5574.58	5579.46	251.92	0.691426
20	16899.468794	0.383892	557.9734	538.5913	5022.43	5026.39	255.50	0.734331
21	15706.447321	0.433963	596.7774	577.3754	4498.91	4502.09	258.91	0.776863
22	14411.124261	0.484772	635.3061	616.0417	4004.59	4007.11	262.12	0.818729
23	13043.218618	0.535710	673.2403	654.2732	3539.96	3541.93	265.14	0.859634
24	11632.758364	0.586168	710.2627	691.7515	3105.35	3106.86	267.97	0.899295
25	10209.501340	0.635547	746.0635	728.1631	2701.00	2702.14	270.59	0.937436
26	8802.356155	0.683269	780.3455	763.2045	2327.04	2327.89	273.02	0.973801
27	7438.803092	0.728786	812.8302	796.5879	1983.49	1984.11	275.26	1.008150
28	6144.315003	0.771597	843.2634	828.0468	1670.26	1670.70	277.29	1.040269
29	4941.778213	0.811253	871.4203	857.3419	1387.12	1387.43	279.13	1.069971
30	3850.913422	0.847375	897.1117	884.2660	1133.73	1133.93	280.78	1.097099
31	2887.696603	0.879657	920.1893	908.6505	909.57	909.70	282.24	1.121533
32	2063.779905	0.907884	940.5512	930.3702	713.97	714.05	283.51	1.143192
33	1385.912553	0.931940	958.1476	949.3494	546.06	546.11	284.60	1.162039
34	855.361750	0.951822	972.9868	965.5672	404.72	404.74	285.52	1.178087
35	467.333577	0.967645	985.1399	979.0633	288.55	288.57	286.27	1.191403
36	210.393894	0.979663	994.7472	989.9435	195.85	195.85	286.88	1.202112
37	65.889243	0.988270	1002.0236	998.3854	124.48	124.48	287.34	1.210406
38	7.367743	0.994019	1007.2639	1004.6437	71.89	71.89	287.68	1.216546
39	0.000000	0.997630	1010.8487	1009.0563	34.97	34.97	287.92	1.220871
40	0.000000	1.000000	1013.2500	1012.0493	10.00	10.00	288.09	1.223803
